iter	Passed	Remaining
0	314	46837
1	683	50575
2	1083	53102
3	1479	53987
4	1834	53194
5	2178	52277
6	2487	50811
7	2793	49585
8	3113	48783
9	3453	48354
10	3775	47708
11	4094	47092
12	4397	46339
13	4716	45815
14	5066	45599
15	5403	45252
16	5712	44690
17	6028	44212
18	6354	43813
19	6684	43452
20	7029	43182
21	7364	42847
22	7699	42513
23	8021	42114
24	8318	41590
25	8610	41064
26	8915	40614
27	9254	40321
28	9581	39977
29	9898	39595
30	10190	39117
31	10501	38723
32	10778	38216
33	11060	37735
34	11330	37228
35	11600	36733
36	11894	36326
37	12175	35887
38	12423	35359
39	12678	34864
40	12928	34369
41	13171	33869
42	13447	33462
43	13732	33082
44	14010	32690
45	14281	32289
46	14542	31869
47	14781	31409
48	15041	31003
49	15299	30598
50	15590	30263
51	15881	29930
52	16156	29568
53	16396	29149
54	16669	28792
55	16933	28424
56	17206	28074
57	17499	27757
58	17740	27363
59	18026	27040
60	18287	26681
61	18519	26285
62	18797	25959
63	19074	25631
64	19291	25226
65	19530	24857
66	19739	24453
67	19969	24081
68	20174	23683
69	20459	23382
70	20723	23058
71	20983	22731
72	21248	22413
73	21529	22110
74	21835	21835
75	22176	21593
76	22439	21273
77	22742	20993
78	22976	20650
79	23238	20333
80	23513	20030
81	23814	19748
82	24038	19404
83	24294	19088
84	24495	18732
85	24729	18403
86	24941	18060
87	25164	17729
88	25427	17427
89	25651	17100
90	25870	16773
91	26111	16461
92	26335	16141
93	26573	15830
94	26812	15522
95	27059	15221
96	27319	14927
97	27552	14619
98	27798	14320
99	28072	14036
100	28301	13730
101	28481	13402
102	28746	13117
103	28997	12826
104	29243	12533
105	29479	12236
106	29739	11951
107	29999	11666
108	30227	11369
109	30472	11080
110	30699	10786
111	30917	10489
112	31099	10183
113	31337	9896
114	31581	9611
115	31839	9332
116	32124	9060
117	32408	8788
118	32662	8508
119	32932	8233
120	33173	7950
121	33387	7662
122	33647	7386
123	33844	7096
124	34049	6809
125	34315	6536
126	34615	6269
127	34926	6002
128	35178	5726
129	35384	5443
130	35665	5172
131	35972	4905
132	36224	4630
133	36454	4352
134	36695	4077
135	36899	3798
136	37153	3525
137	37393	3251
138	37648	2979
139	37904	2707
140	38159	2435
141	38398	2163
142	38620	1890
143	38880	1620
144	39161	1350
145	39436	1080
146	39748	811
147	39940	539
148	40170	269
149	40430	0
